UniqID	ICD-10_Description	ICD-9_Description
000302	Tuberculosis of spine	Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy
000303	Tuberculosis of spine	Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000304	Tuberculosis of spine	Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000305	Tuberculosis of spine	Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000306	Tuberculous arthritis of other joints	Tuberculosis of hip, unspecified
000307	Tuberculous arthritis of other joints	Tuberculosis of hip, bacteriological or histological examination not done
000308	Tuberculous arthritis of other joints	Tuberculosis of hip, bacteriological or histological examination unknown (at present)
000309	Tuberculous arthritis of other joints	Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy
000310	Tuberculous arthritis of other joints	Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000311	Tuberculous arthritis of other joints	Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000354	Tuberculous arthritis of other joints	Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy
000356	Tuberculous arthritis of other joints	Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000358	Tuberculous arthritis of other joints	Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000360	Tuberculous arthritis of other joints	Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000345	Tuberculous arthritis of other joints	Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000346	Tuberculous arthritis of other joints	Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000347	Tuberculous arthritis of other joints	Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000348	Tuberculous arthritis of other joints	Tuberculosis of unspecified bones and joints, unspecified
000350	Tuberculous arthritis of other joints	Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done
000352	Tuberculous arthritis of other joints	Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)
000318	Tuberculous arthritis of other joints	Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000319	Tuberculous arthritis of other joints	Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000341	Tuberculous arthritis of other joints	Tuberculosis of other specified joint, unspecified
000342	Tuberculous arthritis of other joints	Tuberculosis of other specified joint, bacteriological or histological examination not done
000343	Tuberculous arthritis of other joints	Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)
000344	Tuberculous arthritis of other joints	Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy
000312	Tuberculous arthritis of other joints	Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000313	Tuberculous arthritis of other joints	Tuberculosis of knee, unspecified
000314	Tuberculous arthritis of other joints	Tuberculosis of knee, bacteriological or histological examination not done
000315	Tuberculous arthritis of other joints	Tuberculosis of knee, bacteriological or histological examination unknown (at present)
000316	Tuberculous arthritis of other joints	Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy
000317	Tuberculous arthritis of other joints	Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000320	Tuberculosis of other bones	Tuberculosis of limb bones, unspecified
000321	Tuberculosis of other bones	Tuberculosis of limb bones, bacteriological or histological examination not done
000322	Tuberculosis of other bones	Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)
000323	Tuberculosis of other bones	Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy
000324	Tuberculosis of other bones	Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000325	Tuberculosis of other bones	Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000355	Tuberculosis of other bones	Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy
000357	Tuberculosis of other bones	Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000359	Tuberculosis of other bones	Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000361	Tuberculosis of other bones	Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000338	Tuberculosis of other bones	Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000339	Tuberculosis of other bones	Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000340	Tuberculosis of other bones	Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000349	Tuberculosis of other bones	Tuberculosis of unspecified bones and joints, unspecified
000351	Tuberculosis of other bones	Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done
000353	Tuberculosis of other bones	Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)
000332	Tuberculosis of other bones	Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000333	Tuberculosis of other bones	Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000334	Tuberculosis of other bones	Tuberculosis of other specified bone, unspecified
000335	Tuberculosis of other bones	Tuberculosis of other specified bone, bacteriological or histological examination not done
000336	Tuberculosis of other bones	Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)
000337	Tuberculosis of other bones	Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy
000326	Tuberculosis of other bones	Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000327	Tuberculosis of other bones	Tuberculosis of mastoid, unspecified
000328	Tuberculosis of other bones	Tuberculosis of mastoid, bacteriological or histological examination not done
000329	Tuberculosis of other bones	Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)
000330	Tuberculosis of other bones	Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy
000331	Tuberculosis of other bones	Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000439	Tuberculosis of genitourinary system, unspecified	Genitourinary tuberculosis, unspecified, unspecified
000440	Tuberculosis of genitourinary system, unspecified	Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done
000441	Tuberculosis of genitourinary system, unspecified	Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)
000442	Tuberculosis of genitourinary system, unspecified	Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
000443	Tuberculosis of genitourinary system, unspecified	Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000444	Tuberculosis of genitourinary system, unspecified	Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000445	Tuberculosis of genitourinary system, unspecified	Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
